,date,vacances_zone_a,vacances_zone_b,vacances_zone_c,nom_vacances,Year,Month,Day
248,1990-09-06,False,False,False,,1990,9,6
249,1990-09-07,False,False,False,,1990,9,7
250,1990-09-08,False,False,False,,1990,9,8
251,1990-09-09,False,False,False,,1990,9,9
252,1990-09-10,False,False,False,,1990,9,10
253,1990-09-11,False,False,False,,1990,9,11
254,1990-09-12,False,False,False,,1990,9,12
255,1990-09-13,False,False,False,,1990,9,13
256,1990-09-14,False,False,False,,1990,9,14
257,1990-09-15,False,False,False,,1990,9,15
258,1990-09-16,False,False,False,,1990,9,16
259,1990-09-17,False,False,False,,1990,9,17
260,1990-09-18,False,False,False,,1990,9,18
261,1990-09-19,False,False,False,,1990,9,19
262,1990-09-20,False,False,False,,1990,9,20
263,1990-09-21,False,False,False,,1990,9,21
264,1990-09-22,False,False,False,,1990,9,22
265,1990-09-23,False,False,False,,1990,9,23
266,1990-09-24,False,False,False,,1990,9,24
267,1990-09-25,False,False,False,,1990,9,25
268,1990-09-26,False,False,False,,1990,9,26
269,1990-09-27,False,False,False,,1990,9,27
270,1990-09-28,False,False,False,,1990,9,28
271,1990-09-29,False,False,False,,1990,9,29
272,1990-09-30,False,False,False,,1990,9,30
273,1990-10-01,False,False,False,,1990,10,1
274,1990-10-02,False,False,False,,1990,10,2
275,1990-10-03,False,False,False,,1990,10,3
276,1990-10-04,False,False,False,,1990,10,4
277,1990-10-05,False,False,False,,1990,10,5
278,1990-10-06,False,False,False,,1990,10,6
279,1990-10-07,False,False,False,,1990,10,7
280,1990-10-08,False,False,False,,1990,10,8
281,1990-10-09,False,False,False,,1990,10,9
282,1990-10-10,False,False,False,,1990,10,10
283,1990-10-11,False,False,False,,1990,10,11
284,1990-10-12,False,False,False,,1990,10,12
285,1990-10-13,False,False,False,,1990,10,13
286,1990-10-14,False,False,False,,1990,10,14
287,1990-10-15,False,False,False,,1990,10,15
288,1990-10-16,False,False,False,,1990,10,16
289,1990-10-17,False,False,False,,1990,10,17
290,1990-10-18,False,False,False,,1990,10,18
291,1990-10-19,False,False,False,,1990,10,19
292,1990-10-20,False,False,False,,1990,10,20
293,1990-10-21,False,False,False,,1990,10,21
294,1990-10-22,False,False,False,,1990,10,22
295,1990-10-23,False,False,False,,1990,10,23
296,1990-10-24,False,False,False,,1990,10,24
297,1990-10-25,False,False,False,,1990,10,25
298,1990-10-26,False,False,False,,1990,10,26
299,1990-10-27,True,True,True,Vacances de la Toussaint,1990,10,27
300,1990-10-28,True,True,True,Vacances de la Toussaint,1990,10,28
301,1990-10-29,True,True,True,Vacances de la Toussaint,1990,10,29
302,1990-10-30,True,True,True,Vacances de la Toussaint,1990,10,30
303,1990-10-31,True,True,True,Vacances de la Toussaint,1990,10,31
304,1990-11-01,True,True,True,Vacances de la Toussaint,1990,11,1
305,1990-11-02,True,True,True,Vacances de la Toussaint,1990,11,2
306,1990-11-03,True,True,True,Vacances de la Toussaint,1990,11,3
307,1990-11-04,True,True,True,Vacances de la Toussaint,1990,11,4
308,1990-11-05,False,False,False,,1990,11,5
309,1990-11-06,False,False,False,,1990,11,6
310,1990-11-07,False,False,False,,1990,11,7
311,1990-11-08,False,False,False,,1990,11,8
312,1990-11-09,False,False,False,,1990,11,9
313,1990-11-10,False,False,False,,1990,11,10
314,1990-11-11,False,False,False,,1990,11,11
315,1990-11-12,False,False,False,,1990,11,12
316,1990-11-13,False,False,False,,1990,11,13
317,1990-11-14,False,False,False,,1990,11,14
318,1990-11-15,False,False,False,,1990,11,15
319,1990-11-16,False,False,False,,1990,11,16
320,1990-11-17,False,False,False,,1990,11,17
321,1990-11-18,False,False,False,,1990,11,18
322,1990-11-19,False,False,False,,1990,11,19
323,1990-11-20,False,False,False,,1990,11,20
324,1990-11-21,False,False,False,,1990,11,21
325,1990-11-22,False,False,False,,1990,11,22
326,1990-11-23,False,False,False,,1990,11,23
327,1990-11-24,False,False,False,,1990,11,24
328,1990-11-25,False,False,False,,1990,11,25
329,1990-11-26,False,False,False,,1990,11,26
330,1990-11-27,False,False,False,,1990,11,27
331,1990-11-28,False,False,False,,1990,11,28
332,1990-11-29,False,False,False,,1990,11,29
333,1990-11-30,False,False,False,,1990,11,30
334,1990-12-01,False,False,False,,1990,12,1
335,1990-12-02,False,False,False,,1990,12,2
336,1990-12-03,False,False,False,,1990,12,3
337,1990-12-04,False,False,False,,1990,12,4
338,1990-12-05,False,False,False,,1990,12,5
339,1990-12-06,False,False,False,,1990,12,6
340,1990-12-07,False,False,False,,1990,12,7
341,1990-12-08,False,False,False,,1990,12,8
342,1990-12-09,False,False,False,,1990,12,9
343,1990-12-10,False,False,False,,1990,12,10
344,1990-12-11,False,False,False,,1990,12,11
345,1990-12-12,False,False,False,,1990,12,12
346,1990-12-13,False,False,False,,1990,12,13
347,1990-12-14,False,False,False,,1990,12,14
348,1990-12-15,False,False,False,,1990,12,15
349,1990-12-16,False,False,False,,1990,12,16
350,1990-12-17,False,False,False,,1990,12,17
351,1990-12-18,False,False,False,,1990,12,18
352,1990-12-19,False,False,False,,1990,12,19
353,1990-12-20,False,False,False,,1990,12,20
354,1990-12-21,False,False,False,,1990,12,21
355,1990-12-22,True,True,True,Vacances de Noël,1990,12,22
356,1990-12-23,True,True,True,Vacances de Noël,1990,12,23
357,1990-12-24,True,True,True,Vacances de Noël,1990,12,24
358,1990-12-25,True,True,True,Vacances de Noël,1990,12,25
359,1990-12-26,True,True,True,Vacances de Noël,1990,12,26
360,1990-12-27,True,True,True,Vacances de Noël,1990,12,27
361,1990-12-28,True,True,True,Vacances de Noël,1990,12,28
362,1990-12-29,True,True,True,Vacances de Noël,1990,12,29
363,1990-12-30,True,True,True,Vacances de Noël,1990,12,30
364,1990-12-31,True,True,True,Vacances de Noël,1990,12,31
365,1991-01-01,True,True,True,Vacances de Noël,1991,1,1
366,1991-01-02,True,True,True,Vacances de Noël,1991,1,2
367,1991-01-03,True,True,True,Vacances de Noël,1991,1,3
368,1991-01-04,True,True,True,Vacances de Noël,1991,1,4
369,1991-01-05,True,True,True,Vacances de Noël,1991,1,5
370,1991-01-06,True,True,True,Vacances de Noël,1991,1,6
371,1991-01-07,False,False,False,,1991,1,7
372,1991-01-08,False,False,False,,1991,1,8
373,1991-01-09,False,False,False,,1991,1,9
374,1991-01-10,False,False,False,,1991,1,10
375,1991-01-11,False,False,False,,1991,1,11
376,1991-01-12,False,False,False,,1991,1,12
377,1991-01-13,False,False,False,,1991,1,13
378,1991-01-14,False,False,False,,1991,1,14
379,1991-01-15,False,False,False,,1991,1,15
380,1991-01-16,False,False,False,,1991,1,16
381,1991-01-17,False,False,False,,1991,1,17
382,1991-01-18,False,False,False,,1991,1,18
383,1991-01-19,False,False,False,,1991,1,19
384,1991-01-20,False,False,False,,1991,1,20
385,1991-01-21,False,False,False,,1991,1,21
386,1991-01-22,False,False,False,,1991,1,22
387,1991-01-23,False,False,False,,1991,1,23
388,1991-01-24,False,False,False,,1991,1,24
389,1991-01-25,False,False,False,,1991,1,25
390,1991-01-26,False,False,False,,1991,1,26
391,1991-01-27,False,False,False,,1991,1,27
392,1991-01-28,False,False,False,,1991,1,28
393,1991-01-29,False,False,False,,1991,1,29
394,1991-01-30,False,False,False,,1991,1,30
395,1991-01-31,False,False,False,,1991,1,31
396,1991-02-01,False,False,False,,1991,2,1
397,1991-02-02,False,False,False,,1991,2,2
398,1991-02-03,False,False,False,,1991,2,3
399,1991-02-04,False,False,False,,1991,2,4
400,1991-02-05,False,False,False,,1991,2,5
401,1991-02-06,False,False,False,,1991,2,6
402,1991-02-07,False,False,False,,1991,2,7
403,1991-02-08,False,False,False,,1991,2,8
404,1991-02-09,False,False,False,,1991,2,9
405,1991-02-10,False,False,False,,1991,2,10
406,1991-02-11,False,False,False,,1991,2,11
407,1991-02-12,False,False,False,,1991,2,12
408,1991-02-13,False,False,False,,1991,2,13
409,1991-02-14,False,False,False,,1991,2,14
410,1991-02-15,False,False,False,,1991,2,15
